weekday,mood,activities,datetime,date,small meal,ate in,sport,teaching,flight,cleaning,labour,Thảo,went out,left the house,ate out,music,online shopping,Up too late,drinking,shower,animals,Medical,walk,gaming,TV,YouTube,massage,holiday,hungover,Extreme,commute,acquaintances,browsing,groceries,bed too late,lesson,Vietnamese,Climbing,cinema,mental task,Meal,sex,cooking,home dinner,Irish,editing,Bed on time,Dessert,cycling,wanking,N2O,MD,train,stayed in,family,social media,soccer,Up on time,driving,journal,podcasts,friends,museum,acid,strangers,weed,reading,snacking,boardgames,sick,fine dining,photography,fast food,studying,relax,bus,guitar,coke,karaoke,Workout
Friday,3,"['cooking', 'small meal', 'stayed in', 'Thảo', 'browsing']",2020-02-28 14:14:00,2020-02-28 00:00:00,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,3,"['browsing', 'Up too late', 'shower']",2020-02-28 10:32:00,2020-02-28 00:00:00,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,3,"['home dinner', 'left the house', 'Thảo', 'strangers', 'gaming', 'browsing', 'teaching', 'bed too late', 'walk', 'cycling']",2020-02-27 22:00:00,2020-02-27 00:00:00,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Thursday,2,"['snacking', 'small meal', 'Dessert', 'left the house', 'Thảo', 'family', 'gaming']",2020-02-27 18:20:00,2020-02-27 00:00:00,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Thursday,3,"['small meal', 'Thảo', 'family', 'strangers']",2020-02-27 13:13:00,2020-02-27 00:00:00,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Thursday,3,"['Thảo', 'Up too late']",2020-02-27 09:20:00,2020-02-27 00:00:00,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,4,"['home dinner', 'left the house', 'friends', 'Thảo', 'strangers', 'browsing', 'bed too late', 'sport', 'Climbing']",2020-02-26 22:00:00,2020-02-26 00:00:00,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Wednesday,4,"['snacking', 'small meal', 'stayed in', 'sex', 'Thảo', 'gaming']",2020-02-26 18:27:00,2020-02-26 00:00:00,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Wednesday,3,"['small meal', 'Dessert', 'stayed in', 'Thảo', 'gaming']",2020-02-26 14:19:00,2020-02-26 00:00:00,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,3,"['Thảo', 'browsing', 'Up too late', 'shower']",2020-02-26 10:22:00,2020-02-26 00:00:00,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
