date,AvgforDay,weekday,rollingavg
2020-02-28 00:00:00,3.0,Friday,
2020-02-27 00:00:00,2.75,Thursday,
2020-02-26 00:00:00,3.5,Wednesday,
2020-02-25 00:00:00,3.5,Tuesday,
2020-02-24 00:00:00,3.75,Monday,
2020-02-23 00:00:00,4.666666666666667,Sunday,
2020-02-22 00:00:00,3.25,Saturday,
2020-02-21 00:00:00,3.3333333333333335,Friday,
2020-02-20 00:00:00,3.5,Thursday,
2020-02-19 00:00:00,3.5,Wednesday,
2020-02-18 00:00:00,2.75,Tuesday,
2020-02-17 00:00:00,3.0,Monday,
2020-02-16 00:00:00,3.75,Sunday,
2020-02-15 00:00:00,3.75,Saturday,
2020-02-14 00:00:00,3.25,Friday,
2020-02-13 00:00:00,3.0,Thursday,
2020-02-12 00:00:00,2.5,Wednesday,
2020-02-11 00:00:00,2.75,Tuesday,
2020-02-10 00:00:00,2.3333333333333335,Monday,
2020-02-09 00:00:00,3.25,Sunday,
2020-02-08 00:00:00,3.25,Saturday,
2020-02-07 00:00:00,3.0,Friday,
2020-02-06 00:00:00,3.5,Thursday,
2020-02-05 00:00:00,3.0,Wednesday,
2020-02-04 00:00:00,3.0,Tuesday,
2020-02-03 00:00:00,3.0,Monday,
2020-02-02 00:00:00,3.5,Sunday,
2020-02-01 00:00:00,3.25,Saturday,
2020-01-31 00:00:00,3.0,Friday,
2020-01-30 00:00:00,3.25,Thursday,3.2277777777777783
2020-01-29 00:00:00,3.0,Wednesday,3.2277777777777783
2020-01-28 00:00:00,3.0,Tuesday,3.2361111111111116
2020-01-27 00:00:00,2.5,Monday,3.202777777777778
2020-01-26 00:00:00,3.0,Sunday,3.1861111111111113
2020-01-25 00:00:00,3.0,Saturday,3.1611111111111114
2020-01-24 00:00:00,2.75,Friday,3.0972222222222223
2020-01-23 00:00:00,2.75,Thursday,3.0805555555555557
2020-01-22 00:00:00,3.25,Wednesday,3.077777777777778
2020-01-21 00:00:00,3.0,Tuesday,3.0611111111111113
2020-01-20 00:00:00,2.5,Monday,3.027777777777778
2020-01-19 00:00:00,3.5,Sunday,3.052777777777778
2020-01-18 00:00:00,3.0,Saturday,3.052777777777778
2020-01-17 00:00:00,2.5,Friday,3.0111111111111115
2020-01-16 00:00:00,3.75,Thursday,3.0111111111111115
2020-01-15 00:00:00,3.0,Wednesday,3.002777777777778
2020-01-14 00:00:00,3.0,Tuesday,3.002777777777778
2020-01-13 00:00:00,3.25,Monday,3.027777777777778
2020-01-12 00:00:00,3.75,Sunday,3.0611111111111113
2020-01-11 00:00:00,3.25,Saturday,3.0916666666666672
2020-01-10 00:00:00,3.0,Friday,3.083333333333334
2020-01-09 00:00:00,3.5,Thursday,3.0916666666666672
2020-01-08 00:00:00,3.75,Wednesday,3.116666666666667
2020-01-07 00:00:00,3.5,Tuesday,3.116666666666667
2020-01-06 00:00:00,3.0,Monday,3.116666666666667
2020-01-05 00:00:00,3.5,Sunday,3.1333333333333337
2020-01-04 00:00:00,3.3333333333333335,Saturday,3.144444444444445
2020-01-03 00:00:00,3.5,Friday,3.144444444444445
2020-01-02 00:00:00,2.75,Thursday,3.127777777777778
2020-01-01 00:00:00,3.0,Wednesday,3.127777777777778
2019-12-31 00:00:00,2.6666666666666665,Tuesday,3.108333333333334
2019-12-30 00:00:00,3.3333333333333335,Monday,3.119444444444445
2019-12-29 00:00:00,3.0,Sunday,3.119444444444445
