full_date,date,weekday,time,mood,activities,note
2020-02-28,28 February,Friday,2:14 pm,grand,"cooking | small meal | stayed in | Thảo | browsing",""
2020-02-28,28 February,Friday,10:32 am,grand,"browsing | Up too late | shower",""
2020-02-27,27 February,Thursday,10:00 pm,grand,"home dinner | left the house | Thảo | strangers | gaming | browsing | teaching | bed too late | walk | cycling",""
2020-02-27,27 February,Thursday,6:20 pm,bad,"snacking | small meal | Dessert | left the house | Thảo | family | gaming",""
2020-02-27,27 February,Thursday,1:13 pm,grand,"small meal | Thảo | family | strangers",""
2020-02-27,27 February,Thursday,9:20 am,grand,"Thảo | Up too late",""
2020-02-26,26 February,Wednesday,10:00 pm,good,"home dinner | left the house | friends | Thảo | strangers | browsing | bed too late | sport | Climbing",""
2020-02-26,26 February,Wednesday,6:27 pm,good,"snacking | small meal | stayed in | sex | Thảo | gaming",""
2020-02-26,26 February,Wednesday,2:19 pm,grand,"small meal | Dessert | stayed in | Thảo | gaming",""
2020-02-26,26 February,Wednesday,10:22 am,grand,"Thảo | browsing | Up too late | shower",""
2020-02-25,25 February,Tuesday,11:10 pm,good,"cooking | home dinner | Dessert | left the house | animals | sex | Thảo | family | TV | bed too late",""
2020-02-25,25 February,Tuesday,6:00 pm,grand,"cooking | small meal | Dessert | editing | left the house | family | walk",""
2020-02-25,25 February,Tuesday,2:26 pm,good,"snacking | wanking | guitar | stayed in | Thảo | mental task",""
2020-02-25,25 February,Tuesday,8:51 am,grand,"Thảo | browsing | Up too late | shower",""
2020-02-24,24 February,Monday,11:22 pm,good,"home dinner | Dessert | stayed in | Thảo | strangers | gaming | Bed on time",""
2020-02-24,24 February,Monday,6:22 pm,good,"cooking | small meal | left the house | animals | family | walk",""
2020-02-24,24 February,Monday,1:35 pm,good,"snacking | left the house | animals | Thảo | family | podcasts | mental task | walk",""
2020-02-24,24 February,Monday,9:40 am,grand,"Thảo | browsing | Up too late | shower",""
2020-02-23,23 February,Sunday,11:32 pm,great,"cooking | home dinner | stayed in | Thảo | reading | gaming | bed too late",""
2020-02-23,23 February,Sunday,3:20 pm,great,"snacking | left the house | friends | podcasts | sport | Climbing | cycling",""
2020-02-23,23 February,Sunday,10:19 am,good,"small meal | Thảo | browsing | Up too late | shower",""
2020-02-22,22 February,Saturday,11:43 pm,good,"home dinner | Thảo | TV | browsing | bed too late",""
2020-02-22,22 February,Saturday,6:19 pm,grand,"snacking | small meal | editing | stayed in | sex | Thảo | browsing | mental task",""
2020-02-22,22 February,Saturday,1:24 pm,grand,"small meal | browsing",""
2020-02-22,22 February,Saturday,10:32 am,grand,"Thảo | browsing | Up too late",""
2020-02-21,21 February,Friday,10:00 pm,good,"fine dining | Dessert | left the house | Thảo | strangers | TV | bed too late | walk",""
2020-02-21,21 February,Friday,5:15 pm,grand,"snacking | guitar | stayed in | Thảo | mental task",""
2020-02-21,21 February,Friday,10:51 am,grand,"small meal | Thảo | Up too late | shower",""
2020-02-20,20 February,Thursday,11:53 pm,good,"stayed in | sex | Thảo | boardgames",""
2020-02-20,20 February,Thursday,7:21 pm,grand,"fine dining | Dessert | left the house | animals | family | browsing",""
2020-02-20,20 February,Thursday,3:27 pm,good,"photography | left the house | family | walk",""
2020-02-20,20 February,Thursday,10:15 am,grand,"small meal | Thảo | browsing | mental task | Up too late | shower",""
2020-02-19,19 February,Wednesday,11:26 pm,good,"home dinner | Dessert | Thảo | TV | Bed on time",""
2020-02-19,19 February,Wednesday,7:30 pm,grand,"left the house | Thảo | strangers | mental task | walk",""
2020-02-19,19 February,Wednesday,1:39 pm,good,"small meal | stayed in | Thảo | TV | mental task",""
2020-02-19,19 February,Wednesday,9:02 am,grand,"browsing | Up too late | shower",""
2020-02-18,18 February,Tuesday,10:37 pm,bad,"home dinner | Dessert | guitar | Thảo | TV | gaming | Bed on time",""
2020-02-18,18 February,Tuesday,6:11 pm,grand,"snacking | wanking | left the house | sex | Thảo | strangers | mental task | walk",""
2020-02-18,18 February,Tuesday,1:09 pm,grand,"fine dining | left the house | family | strangers | walk",""
2020-02-18,18 February,Tuesday,8:58 am,grand,"small meal | browsing | Up too late | shower",""
2020-02-17,17 February,Monday,10:57 pm,grand,"cooking | home dinner | Thảo | TV | gaming | Bed on time",""
2020-02-17,17 February,Monday,6:10 pm,grand,"snacking | guitar | left the house | strangers | groceries | walk",""
2020-02-17,17 February,Monday,1:33 pm,grand,"snacking | Dessert | photography | stayed in",""
2020-02-17,17 February,Monday,9:48 am,grand,"small meal | Thảo | browsing | Up too late | shower",""
2020-02-16,16 February,Sunday,10:00 pm,good,"Thảo | TV | browsing | social media",""
2020-02-16,16 February,Sunday,9:31 pm,good,"cooking | home dinner | stayed in | sex | Thảo | TV | gaming",""
2020-02-16,16 February,Sunday,3:04 pm,good,"snacking | small meal | guitar | stayed in | sex | Thảo | reading",""
2020-02-16,16 February,Sunday,10:16 am,grand,"browsing | Up too late",""
2020-02-15,15 February,Saturday,11:26 pm,good,"stayed in | Thảo | TV",""
2020-02-15,15 February,Saturday,7:32 pm,grand,"cooking | home dinner | left the house | Thảo | family",""
2020-02-15,15 February,Saturday,3:00 pm,good,"cooking | guitar | stayed in | Thảo | family | YouTube",""
2020-02-15,15 February,Saturday,9:46 am,good,"browsing | Up too late | shower",""
